System Uptime[ms] 52711,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.07,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.69,Airdata VTAS[m/s] 2.67,BMP280_0 P[Pa] 99940.10, BMP280_0 Tpackage[C] 13.37, HTU21DF_0 RH[%] 87.18, HTU21DF_0 Tpackage[C] 11.97, D6F-PH0025AD1_0 q[Pa] 4.46, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 4.57, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.01, MPU6050_0 roll[deg] -0.20, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 53382,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.08,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.73,Airdata VTAS[m/s] 2.71,BMP280_0 P[Pa] 99945.55, BMP280_0 Tpackage[C] 13.38, HTU21DF_0 RH[%] 87.08, HTU21DF_0 Tpackage[C] 11.98, D6F-PH0025AD1_0 q[Pa] 5.76, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 4.37, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.12, MPU6050_0 roll[deg] -0.20, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 54018,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.10,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.76,Airdata VTAS[m/s] 2.74,BMP280_0 P[Pa] 99944.05, BMP280_0 Tpackage[C] 13.40, HTU21DF_0 RH[%] 87.15, HTU21DF_0 Tpackage[C] 11.99, D6F-PH0025AD1_0 q[Pa] 5.57, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 4.53, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.26, MPU6050_0 roll[deg] -0.26, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 54657,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.10,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.70,Airdata VTAS[m/s] 2.67,BMP280_0 P[Pa] 99942.25, BMP280_0 Tpackage[C] 13.40, HTU21DF_0 RH[%] 87.19, HTU21DF_0 Tpackage[C] 12.00, D6F-PH0025AD1_0 q[Pa] 3.68, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 2.74, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.01, MPU6050_0 roll[deg] -0.21, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 55296,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.11,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.52,Airdata VTAS[m/s] 2.50,BMP280_0 P[Pa] 99943.19, BMP280_0 Tpackage[C] 13.41, HTU21DF_0 RH[%] 87.11, HTU21DF_0 Tpackage[C] 12.01, D6F-PH0025AD1_0 q[Pa] 2.53, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 2.10, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.11, MPU6050_0 roll[deg] -0.18, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 55935,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.11,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.27,Airdata VTAS[m/s] 2.25,BMP280_0 P[Pa] 99944.55, BMP280_0 Tpackage[C] 13.41, HTU21DF_0 RH[%] 86.92, HTU21DF_0 Tpackage[C] 12.02, D6F-PH0025AD1_0 q[Pa] 1.79, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 2.10, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.25, MPU6050_0 roll[deg] -0.25, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 56573,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.12,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.14,Airdata VTAS[m/s] 2.12,BMP280_0 P[Pa] 99941.53, BMP280_0 Tpackage[C] 13.42, HTU21DF_0 RH[%] 86.80, HTU21DF_0 Tpackage[C] 12.03, D6F-PH0025AD1_0 q[Pa] 2.13, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 2.79, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.24, MPU6050_0 roll[deg] -0.26, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 57212,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.81,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.12,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.20,Airdata VTAS[m/s] 2.18,BMP280_0 P[Pa] 99942.95, BMP280_0 Tpackage[C] 13.42, HTU21DF_0 RH[%] 86.70, HTU21DF_0 Tpackage[C] 12.04, D6F-PH0025AD1_0 q[Pa] 3.49, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 3.24, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.03, MPU6050_0 roll[deg] -0.41, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 57876,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.13,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.27,Airdata VTAS[m/s] 2.25,BMP280_0 P[Pa] 99944.83, BMP280_0 Tpackage[C] 13.43, HTU21DF_0 RH[%] 86.58, HTU21DF_0 Tpackage[C] 12.06, D6F-PH0025AD1_0 q[Pa] 3.54, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 3.83, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.04, MPU6050_0 roll[deg] -0.63, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 58509,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.13,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.32,Airdata VTAS[m/s] 2.30,BMP280_0 P[Pa] 99942.36, BMP280_0 Tpackage[C] 13.43, HTU21DF_0 RH[%] 86.37, HTU21DF_0 Tpackage[C] 12.06, D6F-PH0025AD1_0 q[Pa] 3.87, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 2.94, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.01, MPU6050_0 roll[deg] -0.57, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 59148,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.13,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.31,Airdata VTAS[m/s] 2.29,BMP280_0 P[Pa] 99938.64, BMP280_0 Tpackage[C] 13.43, HTU21DF_0 RH[%] 86.05, HTU21DF_0 Tpackage[C] 12.08, D6F-PH0025AD1_0 q[Pa] 3.05, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 3.49, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.03, MPU6050_0 roll[deg] -0.64, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 59787,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.14,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.34,Airdata VTAS[m/s] 2.32,BMP280_0 P[Pa] 99942.23, BMP280_0 Tpackage[C] 13.44, HTU21DF_0 RH[%] 85.82, HTU21DF_0 Tpackage[C] 12.10, D6F-PH0025AD1_0 q[Pa] 3.29, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 4.43, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.01, MPU6050_0 roll[deg] -0.89, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 60426,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.14,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.36,Airdata VTAS[m/s] 2.33,BMP280_0 P[Pa] 99946.11, BMP280_0 Tpackage[C] 13.44, HTU21DF_0 RH[%] 85.63, HTU21DF_0 Tpackage[C] 12.08, D6F-PH0025AD1_0 q[Pa] 2.65, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 4.28, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.03, MPU6050_0 roll[deg] -1.07, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 61065,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.15,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.38,Airdata VTAS[m/s] 2.36,BMP280_0 P[Pa] 99944.30, BMP280_0 Tpackage[C] 13.45, HTU21DF_0 RH[%] 85.47, HTU21DF_0 Tpackage[C] 12.11, D6F-PH0025AD1_0 q[Pa] 3.44, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 3.58, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.07, MPU6050_0 roll[deg] -1.06, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 61703,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.16,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.74,Airdata VTAS[m/s] 2.72,BMP280_0 P[Pa] 99943.95, BMP280_0 Tpackage[C] 13.46, HTU21DF_0 RH[%] 85.29, HTU21DF_0 Tpackage[C] 12.11, D6F-PH0025AD1_0 q[Pa] 7.53, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 10.25, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.08, MPU6050_0 roll[deg] -0.84, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 62367,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.16,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.54,Airdata VTAS[m/s] 3.51,BMP280_0 P[Pa] 99942.58, BMP280_0 Tpackage[C] 13.46, HTU21DF_0 RH[%] 85.19, HTU21DF_0 Tpackage[C] 12.13, D6F-PH0025AD1_0 q[Pa] 9.84, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 10.53, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.19, MPU6050_0 roll[deg] -0.71, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 63001,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.17,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 4.57,Airdata VTAS[m/s] 4.52,BMP280_0 P[Pa] 99942.08, BMP280_0 Tpackage[C] 13.47, HTU21DF_0 RH[%] 85.09, HTU21DF_0 Tpackage[C] 12.14, D6F-PH0025AD1_0 q[Pa] 17.12, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 12.93, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.08, MPU6050_0 roll[deg] -0.57, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 63640,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.18,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 4.46,Airdata VTAS[m/s] 4.42,BMP280_0 P[Pa] 99942.61, BMP280_0 Tpackage[C] 13.48, HTU21DF_0 RH[%] 85.03, HTU21DF_0 Tpackage[C] 12.15, D6F-PH0025AD1_0 q[Pa] 11.33, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 11.38, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.00, MPU6050_0 roll[deg] -0.57, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 64278,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.81,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.18,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 4.42,Airdata VTAS[m/s] 4.38,BMP280_0 P[Pa] 99937.08, BMP280_0 Tpackage[C] 13.48, HTU21DF_0 RH[%] 84.89, HTU21DF_0 Tpackage[C] 12.16, D6F-PH0025AD1_0 q[Pa] 13.93, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 8.23, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.02, MPU6050_0 roll[deg] -0.45, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 64917,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.81,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.19,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 4.22,Airdata VTAS[m/s] 4.18,BMP280_0 P[Pa] 99937.67, BMP280_0 Tpackage[C] 13.49, HTU21DF_0 RH[%] 84.70, HTU21DF_0 Tpackage[C] 12.17, D6F-PH0025AD1_0 q[Pa] 11.33, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 8.24, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.12, MPU6050_0 roll[deg] -0.05, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 65556,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.81,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.19,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 4.16,Airdata VTAS[m/s] 4.13,BMP280_0 P[Pa] 99937.56, BMP280_0 Tpackage[C] 13.49, HTU21DF_0 RH[%] 84.52, HTU21DF_0 Tpackage[C] 12.19, D6F-PH0025AD1_0 q[Pa] 10.35, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 11.52, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.20, MPU6050_0 roll[deg] -0.08, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 66195,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.81,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.19,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 4.09,Airdata VTAS[m/s] 4.05,BMP280_0 P[Pa] 99939.25, BMP280_0 Tpackage[C] 13.49, HTU21DF_0 RH[%] 84.46, HTU21DF_0 Tpackage[C] 12.18, D6F-PH0025AD1_0 q[Pa] 9.58, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 8.17, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.13, MPU6050_0 roll[deg] 0.06, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 66858,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.20,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.67,Airdata VTAS[m/s] 3.64,BMP280_0 P[Pa] 99940.33, BMP280_0 Tpackage[C] 13.50, HTU21DF_0 RH[%] 84.39, HTU21DF_0 Tpackage[C] 12.19, D6F-PH0025AD1_0 q[Pa] 7.35, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 2.99, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.16, MPU6050_0 roll[deg] 0.39, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 67492,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.20,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.05,Airdata VTAS[m/s] 3.02,BMP280_0 P[Pa] 99940.16, BMP280_0 Tpackage[C] 13.50, HTU21DF_0 RH[%] 84.39, HTU21DF_0 Tpackage[C] 12.20, D6F-PH0025AD1_0 q[Pa] 5.14, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 3.24, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.19, MPU6050_0 roll[deg] 0.74, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 68131,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.22,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.84,Airdata VTAS[m/s] 2.81,BMP280_0 P[Pa] 99941.17, BMP280_0 Tpackage[C] 13.52, HTU21DF_0 RH[%] 84.48, HTU21DF_0 Tpackage[C] 12.22, D6F-PH0025AD1_0 q[Pa] 4.84, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 4.53, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.40, MPU6050_0 roll[deg] 1.46, VL53L1X_0 s[m] 0.10, ;
